PLAYER (199),POS,AGE,ARMBAT/THROW,PREV WAR,PREV TEAM,PREV AAV,TYPE,MARKET VALUE,WAR
Scott McGough,RP,35,R,-1.09,ARI,"$3,125,000.00",UFA,,-1.09
Michael Soroka,SP,27.2,R,0.57,CHW,"$3,000,000.00",UFA,Market Value,0.57
Gary Sánchez,DH,31.9,R,0.19,MIL,"$3,000,000.00",UFA,Market Value,0.19
Adam Duvall,RF,36.2,R,-1.37,ATL,"$3,000,000.00",UFA,Market Value,-1.37
Mike Clevinger,SP,33.8,R,-0.12,CHW,"$3,000,000.00",UFA,Market Value,-0.12
Tommy Pham,LF,36.7,R,0.03,KC,"$3,000,000.00",UFA,Market Value,0.03
Lucas Sims,RP,30.5,R,0.82,BOS,"$2,850,000.00",UFA,Market Value,0.82
Andrew Kittredge,RP,34.6,R,1.56,STL,"$2,630,000.00",UFA,Market Value,1.56
Jonathan Loaisiga,RP,30,R,0.33,NYY,"$2,500,000.00",UFA,Market Value,0.33
Yasmani Grandal,C,36,S,0.64,PIT,"$2,500,000.00",UFA,Market Value,0.64
Caleb Ferguson,RP,28.3,L,-0.63,HOU,"$2,400,000.00",UFA,Market Value,-0.63
Danny Coulombe,RP,35,L,0.94,BAL,"$2,300,000.00",UFA,Market Value,0.94
Buck Farmer,RP,33.7,R,1.7,CIN,"$2,250,000.00",UFA,Market Value,1.7
Scott Alexander,RP,35.3,L,1.23,ATH,"$2,250,000.00",UFA,Market Value,1.23
